part_id,defect_type,inspector_note
0000,스크래치,연마 흔적 있음 재검 요망
0001,양품,육안 검사 통과
0002,스크래치,스크래치 깊이 측정 필요
0003,양품,정상 상태 확인 완료
0004,양품,외관 양호 이상 없음
0005,크랙,미세 균열 발견 즉시 교체
0006,크랙,열응력 균열 의심
0007,양품,육안 검사 통과
0008,양품,정상 상태 확인 완료
0009,변색,도금 벗겨짐 변색 발생
0010,양품,육안 검사 통과
0011,양품,정상 상태 확인 완료
0012,크랙,열응력 균열 의심
0013,양품,외관 양호 이상 없음
0014,스크래치,스크래치 깊이 측정 필요
0015,크랙,미세 균열 발견 즉시 교체
0016,이물질,오일 잔여물 있음
0017,양품,양품 판정 기준 충족
0018,스크래치,연마 흔적 있음 재검 요망
0019,크랙,열응력 균열 의심
0020,이물질,오일 잔여물 있음
0021,이물질,금속 파편 부착 확인
0022,양품,육안 검사 통과
0023,스크래치,표면에 미세 스크래치 발견
0024,양품,양품 판정 기준 충족
0025,변색,산화에 의한 변색 의심
0026,이물질,오일 잔여물 있음
0027,양품,육안 검사 통과
0028,양품,표면 깨끗함 합격 처리
0029,스크래치,스크래치 깊이 측정 필요
0030,이물질,이물질 오염 불량 판정
0031,스크래치,스크래치 깊이 측정 필요
0032,변색,부분 변색 발견 원인 분석 필요
0033,양품,표면 깨끗함 합격 처리
0034,양품,외관 양호 이상 없음
0035,스크래치,경미한 긁힘 있음 확인 필요
0036,크랙,표면 크랙 확인 불량 판정
0037,양품,양품 판정 기준 충족
0038,양품,육안 검사 통과
0039,양품,표면 상태 우수
0040,크랙,표면 크랙 확인 불량 판정
0041,양품,양품 판정 기준 충족
0042,이물질,오일 잔여물 있음
0043,양품,정상 상태 확인 완료
0044,양품,외관 양호 이상 없음
0045,양품,양품 판정 기준 충족
0046,양품,정상 상태 확인 완료
0047,양품,정상 상태 확인 완료
0048,크랙,크랙 진행 방향 확인 필요
0049,양품,외관 양호 이상 없음
0050,양품,양품 판정 기준 충족
0051,양품,표면 깨끗함 합격 처리
0052,양품,표면 깨끗함 합격 처리
0053,크랙,열응력 균열 의심
0054,양품,표면 깨끗함 합격 처리
0055,양품,정상 상태 확인 완료
0056,양품,표면 상태 우수
0057,양품,육안 검사 통과
0058,양품,육안 검사 통과
0059,양품,표면 상태 우수
0060,이물질,이물질 부착 발견 세척 필요
0061,양품,정상 상태 확인 완료
0062,스크래치,스크래치 깊이 측정 필요
0063,이물질,이물질 부착 발견 세척 필요
0064,양품,외관 양호 이상 없음
0065,양품,외관 양호 이상 없음
0066,변색,열처리 불량 변색 확인
0067,양품,표면 깨끗함 합격 처리
0068,양품,외관 양호 이상 없음
69,크랙,표면 크랙 확인 불량 판정
0070,스크래치,경미한 긁힘 있음 확인 필요
0071,스크래치,경미한 긁힘 있음 확인 필요
0072,양품,외관 양호 이상 없음
0073,양품,외관 양호 이상 없음
74,스크래치,경미한 긁힘 있음 확인 필요
0075,스크래치,경미한 긁힘 있음 확인 필요
0076,양품,육안 검사 통과
0077,양품,표면 깨끗함 합격 처리
0078,변색,도금 벗겨짐 변색 발생
0079,변색,도금 벗겨짐 변색 발생
0080,양품,외관 양호 이상 없음
0081,양품,외관 양호 이상 없음
0082,이물질,이물질 오염 불량 판정
0083,양품,육안 검사 통과
0084,스크래치,경미한 긁힘 있음 확인 필요
0085,양품,외관 양호 이상 없음
0086,양품,표면 상태 우수
0087,크랙,미세 균열 발견 즉시 교체
0088,스크래치,경미한 긁힘 있음 확인 필요
0089,양품,육안 검사 통과
0090,크랙,표면 크랙 확인 불량 판정
0091,변색,산화에 의한 변색 의심
0092,스크래치,경미한 긁힘 있음 확인 필요
0093,스크래치,표면에 미세 스크래치 발견
0094,변색,산화에 의한 변색 의심
0095,스크래치,스크래치 깊이 측정 필요
0096,양품,양품 판정 기준 충족
0097,양품,표면 상태 우수
0098,변색,도금 벗겨짐 변색 발생
0099,양품,육안 검사 통과
0100,양품,표면 깨끗함 합격 처리
0101,변색,산화에 의한 변색 의심
0102,양품,외관 양호 이상 없음
0103,스크래치,경미한 긁힘 있음 확인 필요
0104,스크래치,스크래치 깊이 측정 필요
105,양품,정상 상태 확인 완료
0106,스크래치,경미한 긁힘 있음 확인 필요
0107,양품,정상 상태 확인 완료
0108,스크래치,스크래치 깊이 측정 필요
0109,양품,표면 상태 우수
0110,양품 ,표면 상태 우수
0111,  크랙  ,열응력 균열 의심
0112,스크래치,연마 흔적 있음 재검 요망
0113,양품,표면 깨끗함 합격 처리
0114,변색,열처리 불량 변색 확인
0115,양품,양품 판정 기준 충족
0116,  양품  ,외관 양호 이상 없음
0117,양품,육안 검사 통과
0118,양품,외관 양호 이상 없음
0119,양품,표면 깨끗함 합격 처리
0120,양품,육안 검사 통과
0121,양품 ,육안 검사 통과
0122,스크래치,연마 흔적 있음 재검 요망
0123,양품,표면 상태 우수
0124,양품,외관 양호 이상 없음
125,양품,육안 검사 통과
0126,크랙,열응력 균열 의심
0127,양품,외관 양호 이상 없음
0128,양품,양품 판정 기준 충족
0129, 스크래치,표면에 미세 스크래치 발견
0130,양품,
0131,양품,표면 깨끗함 합격 처리
0132,변색,도금 벗겨짐 변색 발생
0133,양품,표면 깨끗함 합격 처리
0134,양품,육안 검사 통과
0135,양품 ,양품 판정 기준 충족
0136,양품 ,양품 판정 기준 충족
0137,양품,표면 상태 우수
0138,양품,표면 상태 우수
0139,양품,표면 상태 우수
0140,양품 ,양품 판정 기준 충족
0141,양품,표면 깨끗함 합격 처리
0142,이물질,오일 잔여물 있음
0143,양품,육안 검사 통과
0144,양품,육안 검사 통과
0145,양품,표면 상태 우수
0146,양품,정상 상태 확인 완료
0147,양품,육안 검사 통과
0148,양품,정상 상태 확인 완료
0149,변색 ,산화에 의한 변색 의심
0150,양품,외관 양호 이상 없음
0151,양품,양품 판정 기준 충족
0152,양품,양품 판정 기준 충족
0153,양품,정상 상태 확인 완료
0154,변색,산화에 의한 변색 의심
0155,스크래치,표면에 미세 스크래치 발견
156,양품,외관 양호 이상 없음
0157,양품,정상 상태 확인 완료
0158,크랙,열응력 균열 의심
0159,양품,육안 검사 통과
0160, 양품,육안 검사 통과
0161,스크래치,스크래치 깊이 측정 필요
0162,변색,부분 변색 발견 원인 분석 필요
0163, 양품,표면 깨끗함 합격 처리
0164,변색,산화에 의한 변색 의심
0165,변색,부분 변색 발견 원인 분석 필요
0166,양품,정상 상태 확인 완료
0167,양품,양품 판정 기준 충족
0168,변색,도금 벗겨짐 변색 발생
0169,양품,표면 상태 우수
0170,양품,표면 상태 우수
0171, 양품,양품 판정 기준 충족
0172,이물질,금속 파편 부착 확인
0173,  양품  ,정상 상태 확인 완료
0174,양품,양품 판정 기준 충족
0175,양품,양품 판정 기준 충족
0176,스크래치 ,연마 흔적 있음 재검 요망
0177, 양품,정상 상태 확인 완료
0178,양품,육안 검사 통과
0179,  스크래치  ,스크래치 깊이 측정 필요
0180,크랙,열응력 균열 의심
0181,양품,표면 깨끗함 합격 처리
0182,크랙,표면 크랙 확인 불량 판정
0183,양품,양품 판정 기준 충족
0184,변색,산화에 의한 변색 의심
0185,양품,표면 깨끗함 합격 처리
0186,스크래치,
0187,양품,표면 상태 우수
0188,양품 ,외관 양호 이상 없음
0189,양품,정상 상태 확인 완료
0190,이물질,이물질 오염 불량 판정
0191,크랙,크랙 진행 방향 확인 필요
0192, 크랙,표면 크랙 확인 불량 판정
0193,양품 ,표면 깨끗함 합격 처리
0194,양품,육안 검사 통과
0195,양품,표면 깨끗함 합격 처리
0196,양품,양품 판정 기준 충족
0197,양품 ,외관 양호 이상 없음
0198,양품,육안 검사 통과
0199,스크래치,스크래치 깊이 측정 필요
0200,변색,열처리 불량 변색 확인
0201,양품,정상 상태 확인 완료
0202,양품,표면 상태 우수
0203,양품,외관 양호 이상 없음
0204,양품,육안 검사 통과
0205,양품,표면 상태 우수
0206,양품,표면 상태 우수
0207,양품,양품 판정 기준 충족
0208,이물질,이물질 부착 발견 세척 필요
0209,스크래치,연마 흔적 있음 재검 요망
0210,양품,표면 상태 우수
0211,양품,외관 양호 이상 없음
0212,스크래치,스크래치 깊이 측정 필요
0213,양품,양품 판정 기준 충족
0214,양품,육안 검사 통과
0215,스크래치,경미한 긁힘 있음 확인 필요
0216,크랙,크랙 진행 방향 확인 필요
0217,양품,육안 검사 통과
0218,스크래치,스크래치 깊이 측정 필요
0219,양품,육안 검사 통과
0220,크랙,표면 크랙 확인 불량 판정
0221,양품,
0222,양품,양품 판정 기준 충족
0223,양품,표면 상태 우수
0224,양품,표면 상태 우수
0225,스크래치,표면에 미세 스크래치 발견
0226,양품,양품 판정 기준 충족
0227,변색,열처리 불량 변색 확인
0228,양품,표면 상태 우수
0229,양품,외관 양호 이상 없음
0230,양품,정상 상태 확인 완료
0231,양품,육안 검사 통과
0232,변색,부분 변색 발견 원인 분석 필요
0233,양품,표면 깨끗함 합격 처리
0234,스크래치,표면에 미세 스크래치 발견
0235,스크래치,연마 흔적 있음 재검 요망
0236,스크래치,경미한 긁힘 있음 확인 필요
0237,양품,표면 상태 우수
0238,양품,양품 판정 기준 충족
0239,양품,양품 판정 기준 충족
0240,크랙,크랙 진행 방향 확인 필요
0241,양품,외관 양호 이상 없음
0242,변색,도금 벗겨짐 변색 발생
0243,양품,육안 검사 통과
0244,크랙,열응력 균열 의심
245,양품,표면 상태 우수
0246,양품,정상 상태 확인 완료
0247,양품,육안 검사 통과
0248,스크래치,스크래치 깊이 측정 필요
0249,양품,양품 판정 기준 충족
0250,변색,부분 변색 발견 원인 분석 필요
0251,양품,표면 깨끗함 합격 처리
0252,변색,부분 변색 발견 원인 분석 필요
0253,양품,외관 양호 이상 없음
0254,양품,표면 깨끗함 합격 처리
0255,크랙,표면 크랙 확인 불량 판정
0256,양품,정상 상태 확인 완료
0257,크랙,크랙 진행 방향 확인 필요
0258,양품,표면 상태 우수
0259,변색,산화에 의한 변색 의심
0260,양품,정상 상태 확인 완료
0261,양품,표면 상태 우수
0262,스크래치,경미한 긁힘 있음 확인 필요
0263,양품,정상 상태 확인 완료
0264,양품,육안 검사 통과
0265,양품,외관 양호 이상 없음
0266,변색,도금 벗겨짐 변색 발생
0267,양품,표면 깨끗함 합격 처리
0268,크랙,열응력 균열 의심
269,양품,표면 깨끗함 합격 처리
0270,양품,양품 판정 기준 충족
0271,양품,정상 상태 확인 완료
0272,양품,정상 상태 확인 완료
0273,스크래치,스크래치 깊이 측정 필요
0274,양품,표면 상태 우수
0275,스크래치,스크래치 깊이 측정 필요
0276,크랙,열응력 균열 의심
0277,크랙,열응력 균열 의심
0278,양품,표면 상태 우수
0279,양품,표면 상태 우수
0280,스크래치,연마 흔적 있음 재검 요망
281,양품,외관 양호 이상 없음
0282,크랙,미세 균열 발견 즉시 교체
0283,양품,정상 상태 확인 완료
0284,양품,정상 상태 확인 완료
0285,크랙,표면 크랙 확인 불량 판정
0286,양품,외관 양호 이상 없음
0287,변색,도금 벗겨짐 변색 발생
0288,크랙,크랙 진행 방향 확인 필요
0289,양품,표면 깨끗함 합격 처리
290,스크래치,스크래치 깊이 측정 필요
0291,양품,육안 검사 통과
0292,크랙,열응력 균열 의심
0293,스크래치,연마 흔적 있음 재검 요망
0294,양품,정상 상태 확인 완료
0295,양품,표면 상태 우수
0296,스크래치,경미한 긁힘 있음 확인 필요
0297,변색,열처리 불량 변색 확인
0298,이물질,오일 잔여물 있음
0299,이물질,이물질 오염 불량 판정
0300,크랙,크랙 진행 방향 확인 필요
0301,양품,표면 깨끗함 합격 처리
0302,스크래치,표면에 미세 스크래치 발견
0303,양품,외관 양호 이상 없음
0304,양품,정상 상태 확인 완료
0305,양품,육안 검사 통과
0306,양품,양품 판정 기준 충족
0307,양품,양품 판정 기준 충족
0308,양품,양품 판정 기준 충족
0309,양품,표면 상태 우수
0310,스크래치,경미한 긁힘 있음 확인 필요
0311,양품,정상 상태 확인 완료
0312,크랙,크랙 진행 방향 확인 필요
0313,크랙,표면 크랙 확인 불량 판정
0314,양품,육안 검사 통과
0315,양품,표면 깨끗함 합격 처리
0316,크랙,열응력 균열 의심
0317,양품,육안 검사 통과
0318,스크래치,
0319,스크래치,표면에 미세 스크래치 발견
0320,양품,정상 상태 확인 완료
0321,변색,
0322,양품,육안 검사 통과
0323,변색,도금 벗겨짐 변색 발생
0324,양품,표면 상태 우수
0325,양품,육안 검사 통과
0326,양품,표면 상태 우수
0327,양품,양품 판정 기준 충족
0328,양품,표면 깨끗함 합격 처리
0329,크랙,미세 균열 발견 즉시 교체
0330,양품,육안 검사 통과
0331,양품,외관 양호 이상 없음
0332,양품,정상 상태 확인 완료
0333,양품,육안 검사 통과
0334,양품,표면 상태 우수
0335,양품,외관 양호 이상 없음
0336,크랙,열응력 균열 의심
0337,스크래치,표면에 미세 스크래치 발견
0338,양품,육안 검사 통과
0339,양품,육안 검사 통과
0340,양품,양품 판정 기준 충족
0341,양품,외관 양호 이상 없음
0342,이물질,이물질 부착 발견 세척 필요
0343,크랙,크랙 진행 방향 확인 필요
0344,양품,양품 판정 기준 충족
0345,양품,정상 상태 확인 완료
0346,이물질,오일 잔여물 있음
0347,크랙,열응력 균열 의심
0348,양품,외관 양호 이상 없음
0349,양품,정상 상태 확인 완료
0350,양품,양품 판정 기준 충족
0351,크랙,열응력 균열 의심
0352,양품,정상 상태 확인 완료
0353,양품,표면 깨끗함 합격 처리
0354,변색,도금 벗겨짐 변색 발생
0355,양품,표면 상태 우수
0356,양품,표면 깨끗함 합격 처리
0357,변색,산화에 의한 변색 의심
0358,양품,표면 깨끗함 합격 처리
0359,양품,양품 판정 기준 충족
0360,양품,표면 깨끗함 합격 처리
0361,양품,외관 양호 이상 없음
0362,양품,표면 상태 우수
0363,양품,외관 양호 이상 없음
0364,양품,양품 판정 기준 충족
0365,양품,표면 상태 우수
0366,양품,육안 검사 통과
0367,스크래치,표면에 미세 스크래치 발견
0368,양품,표면 깨끗함 합격 처리
0369,변색,열처리 불량 변색 확인
0370,양품,외관 양호 이상 없음
0371,크랙,열응력 균열 의심
0372,양품,양품 판정 기준 충족
0373,양품,표면 깨끗함 합격 처리
0374,양품,외관 양호 이상 없음
0375,양품,외관 양호 이상 없음
0376,변색,도금 벗겨짐 변색 발생
0377,양품,표면 상태 우수
0378,양품,양품 판정 기준 충족
0379,양품,양품 판정 기준 충족
0380,양품,외관 양호 이상 없음
0381,이물질,금속 파편 부착 확인
0382,양품,외관 양호 이상 없음
0383,스크래치,연마 흔적 있음 재검 요망
0384,변색,산화에 의한 변색 의심
0385,양품,외관 양호 이상 없음
0386,스크래치,표면에 미세 스크래치 발견
0387,양품,표면 상태 우수
0388,양품,표면 깨끗함 합격 처리
0389,양품,정상 상태 확인 완료
0390,크랙,미세 균열 발견 즉시 교체
0391,변색,산화에 의한 변색 의심
0392,크랙,열응력 균열 의심
393,양품,육안 검사 통과
0394,양품,외관 양호 이상 없음
0395,변색,부분 변색 발견 원인 분석 필요
0396,변색,열처리 불량 변색 확인
0397,스크래치,경미한 긁힘 있음 확인 필요
0398,양품,표면 깨끗함 합격 처리
0399,양품,표면 깨끗함 합격 처리
0400,양품,정상 상태 확인 완료
0401,양품,육안 검사 통과
0402,변색,산화에 의한 변색 의심
0403,양품,육안 검사 통과
0404,이물질,이물질 부착 발견 세척 필요
0405,이물질,금속 파편 부착 확인
0406,스크래치,스크래치 깊이 측정 필요
0407,스크래치,연마 흔적 있음 재검 요망
0408,양품,외관 양호 이상 없음
0409,양품,외관 양호 이상 없음
0410,양품,외관 양호 이상 없음
0411,양품,정상 상태 확인 완료
0412,양품,정상 상태 확인 완료
0413,크랙,표면 크랙 확인 불량 판정
0414,양품,외관 양호 이상 없음
0415,스크래치,경미한 긁힘 있음 확인 필요
0416,양품,표면 깨끗함 합격 처리
0417,양품,외관 양호 이상 없음
0418,양품,정상 상태 확인 완료
0419,크랙,크랙 진행 방향 확인 필요
0420,양품,양품 판정 기준 충족
0421,변색,도금 벗겨짐 변색 발생
0422,이물질,이물질 오염 불량 판정
0423,양품,표면 상태 우수
0424,크랙,크랙 진행 방향 확인 필요
0425,양품,육안 검사 통과
0426,양품,정상 상태 확인 완료
0427,양품,정상 상태 확인 완료
0428,양품,표면 상태 우수
0429,변색,산화에 의한 변색 의심
0430,스크래치,연마 흔적 있음 재검 요망
0431,양품,정상 상태 확인 완료
0432,스크래치,연마 흔적 있음 재검 요망
0433,변색,도금 벗겨짐 변색 발생
0434,양품,외관 양호 이상 없음
0435,스크래치,표면에 미세 스크래치 발견
0436,양품,육안 검사 통과
0437,양품,외관 양호 이상 없음
0438,양품,육안 검사 통과
0439,스크래치,스크래치 깊이 측정 필요
0440,양품,양품 판정 기준 충족
0441,크랙,미세 균열 발견 즉시 교체
0442,양품,정상 상태 확인 완료
0443,양품,정상 상태 확인 완료
0444,스크래치,표면에 미세 스크래치 발견
0445,이물질,이물질 부착 발견 세척 필요
0446,양품,육안 검사 통과
0447,스크래치,표면에 미세 스크래치 발견
0448,이물질,금속 파편 부착 확인
0449,스크래치,경미한 긁힘 있음 확인 필요
0450,양품,양품 판정 기준 충족
0451,양품,표면 깨끗함 합격 처리
0452,스크래치,표면에 미세 스크래치 발견
0453,양품,외관 양호 이상 없음
0454,변색,열처리 불량 변색 확인
0455,양품,외관 양호 이상 없음
0456,변색,열처리 불량 변색 확인
0457,양품,외관 양호 이상 없음
0458,이물질,이물질 부착 발견 세척 필요
0459,양품,양품 판정 기준 충족
0460,양품,육안 검사 통과
0461,양품,양품 판정 기준 충족
0462,양품,육안 검사 통과
0463,스크래치,표면에 미세 스크래치 발견
0464,양품,표면 깨끗함 합격 처리
0465,양품,외관 양호 이상 없음
0466,양품,표면 깨끗함 합격 처리
0467,스크래치,스크래치 깊이 측정 필요
0468,변색,산화에 의한 변색 의심
0469,양품,표면 깨끗함 합격 처리
0470,양품,외관 양호 이상 없음
0471,변색,산화에 의한 변색 의심
0472,양품,육안 검사 통과
0473,크랙,미세 균열 발견 즉시 교체
0474,양품,정상 상태 확인 완료
0475,크랙,열응력 균열 의심
0476,스크래치,경미한 긁힘 있음 확인 필요
0477,양품,외관 양호 이상 없음
0478,스크래치,연마 흔적 있음 재검 요망
0479,양품,양품 판정 기준 충족
0480,양품,외관 양호 이상 없음
0481,양품,표면 상태 우수
0482,스크래치,연마 흔적 있음 재검 요망
0483,양품,양품 판정 기준 충족
0484,스크래치,표면에 미세 스크래치 발견
0485,양품,육안 검사 통과
0486,변색,열처리 불량 변색 확인
0487,스크래치,연마 흔적 있음 재검 요망
0488,양품,표면 상태 우수
0489,변색,부분 변색 발견 원인 분석 필요
0490,양품,양품 판정 기준 충족
0491,이물질,이물질 오염 불량 판정
0492,양품,정상 상태 확인 완료
0493,양품,외관 양호 이상 없음
0494,양품,양품 판정 기준 충족
0495,양품,표면 상태 우수
0496,양품,외관 양호 이상 없음
0497,스크래치,표면에 미세 스크래치 발견
0498,변색,부분 변색 발견 원인 분석 필요
0499,양품,표면 깨끗함 합격 처리
0010,양품,중복 검사 데이터
0020,이물질,중복 검사 데이터
0030,이물질,중복 검사 데이터
